ID PUMS Occupation,PUMS Occupation,Average Wage (2014),Average Wage (2015),Average Wage (2016),Average Wage (2017),Average Wage (2018)
"111021","General & operations managers",75222.33885180099,76644.4101699089,78945.52593636226,81231.49462004923,81993.68268397363
"1110XX","Chief executives & legislators",131371.49956940403,138108.7773837611,141122.91524450865,147268.8892955622,147563.5896480264
"112011","Advertising & promotions managers",63575.04016421264,64860.12368864385,69602.41464711692,74523.58717892904,70385.75030419794
"112021","Marketing managers",,,,,84553.35115257063
"112022","Sales managers",,,,,106611.87331214701
"112030","Public relations and fundraising managers",,,,,74606.32962434617
"113012","Administrative services managers",,,,,65180.529337833956
"113013","Facilities managers",,,,,63234.3637466893
"113021","Computer & information systems managers",97860.05190342157,100098.884215512,103560.75360740027,103888.57796141504,106683.09528805509
"113031","Financial managers",85429.50275084261,89224.88319043563,91516.47724722623,94470.78940475495,99323.10892765404
"113051","Industrial production managers",76436.81229066603,73600.26086013812,75363.9247310255,79592.80734280006,81245.32512023122
"113061","Purchasing managers",72253.61217453828,70466.65467678991,73337.37450035782,75965.94387763807,77759.47801409541
"113071","Transportation, storage, & distribution managers",51712.75831987076,51941.72656156673,55301.28362874614,54224.72970426161,55072.09245998168
"113111","Compensation & benefits managers",82599.10295996592,73471.13477272727,73691.00572272476,72303.54319838685,92316.07634205557
"113121","Human resources managers",68288.16764801583,70938.10090675842,71321.48436669032,73957.14976468802,76947.73564869937
"113131","Training & development managers",64519.11887818586,65031.66075149903,65813.49463422304,65247.59773378254,70116.0165718563
"119013","Farmers, ranchers, & other agricultural managers",18615.943516759813,19382.07423571287,21236.101966521168,23603.63028121159,21252.144126614123
"119021","Construction managers",57467.89651217123,59456.77246942748,61729.6245324715,62180.73008230736,67899.79066544579
"119030","Education administrators",59057.52754793256,59340.31453032728,61143.71417025837,63712.68751530574,64419.02852602772
"119041","Architectural & engineering managers",128217.3528066856,130907.59004541075,133057.38904106428,136008.64871377984,140732.95551132763
"119051","Food service managers",34698.8272477185,34796.88044229258,36197.85044793228,38541.492029329755,37639.79599651765
"119070","Entertainment and recreation managers",,,,,49636.583476051834
"119081","Lodging managers",41789.51866404715,41388.594249032714,44577.295681579424,46507.492245087924,48776.94917392611
"119111","Medical & health services managers",73106.5751790838,73398.55817128677,76092.50783300136,74458.19408075185,75945.96025874224
"119121","Natural sciences managers",81124.3964038017,86888.04369155939,87930.21092037228,93935.66784662966,83959.11203713472
"119141","Property, real estate, & community association managers",47675.657059834164,49141.07278862546,51548.208515172206,51516.52931323507,53362.17899750008
"119151","Social & community service managers",50785.4686455161,51286.114899524684,53858.63788974993,55536.70844633011,57514.855751586634
"119161","Emergency management directors",52957.96463100226,55294.075405829986,66601.99662243667,64114.248432002445,70625.58872911645
"1191XX","Other managers",,,,,81551.87862464933
"131011","Agents & business managers of artists, performers, & athletes",46197.42183489965,53090.601660659886,53331.91984392816,49250.01714795254,60772.18884009811
"131021","Buyers & purchasing agents, farm products",51513.57663487738,39003.71076495539,52860.133258573966,52326.59082910672,49284.85777891943
"131022","Wholesale & retail buyers, except farm products",33377.950860626246,33000.15979954795,34408.013999735704,35256.9491755666,34923.43160778387
"131023","Purchasing agents, except wholesale, retail, & farm products",50958.27205165323,50280.22700701844,50590.97289846467,52411.28001418861,56123.482254242284
"131030","Claims adjusters, appraisers, examiners, & investigators",46941.992317224285,48840.31107089441,50860.68982057734,51112.680252224425,54438.227902134866
"131041","Compliance officers",65745.62134653627,65416.17603800852,69019.34108347459,70969.61354502047,70432.89760721374
"131051","Cost estimators",55876.253859200464,55187.54731421028,59305.796919847766,59007.37522447348,65098.33941346118
"131070","Human resources workers",54664.814286235436,55444.477404421705,57335.36515070265,58966.79363883012,61282.71916251651
"131081","Logisticians",49852.880815870194,49099.320498402325,52193.1401159047,52464.44586646856,52983.16042209235
"131082","Project management specialists",,,,,85846.81864248517
"131111","Management analysts",67359.20914599448,68357.86377529526,72633.24695210629,73583.1103702129,74494.96977030285
"131121","Meeting, convention, & event planners",32579.766259859614,33452.38584850833,35871.04611539691,41505.63919513753,39161.94288697069
"131131","Fundraisers",47953.44107159494,46168.01125797475,49954.95923739426,53840.68882056872,63516.10861365953
"131141","Compensation, benefits, & job analysis specialists",46037.98039604675,49056.5812366167,54041.28890354334,56444.74761794434,57744.589727174236
"131151","Training & development specialists",47410.056800406695,50536.813824699464,51015.12956291294,53076.08776990108,56901.11919717684
"131161","Market research analysts & marketing specialists",64519.77173871755,65447.349735069285,69722.14310372328,67994.58555712886,70467.65961155378
"131199","Business operations specialists, all other",56356.48052611006,62187.11506691914,59296.890385677245,60907.76558938742,61464.10217418406
"132011","Accountants & auditors",58354.13601983119,59229.25250429307,62168.85321231423,63918.17167997503,67584.51131936749
"132020","Property appraisers and assessors",,,,,48461.502698798846
"132031","Budget analysts",67228.83501247804,70142.4859580903,65458.73836188737,73530.24378246933,71956.31321430986
"132041","Credit analysts",62011.93566939032,63906.175573739056,60138.42067315261,57908.00900676286,81065.51996406777
"132051","Financial analysts",92531.94827276921,95395.1604428392,99166.97067355097,102508.21060689764,108402.89685211665
"132052","Personal financial advisors",103601.28707933948,103958.54223207482,111919.08254696708,112008.96033071734,122318.00829204658
"132053","Insurance underwriters",63012.18716599456,62354.505256320816,65022.18666208044,67796.38931375809,70138.43584178697
"132061","Financial examiners",87831.83237635391,86994.7738410135,79592.849448149,82029.10480375275,85817.35406984464
"132070","Credit counselors & loan officers",62629.45024066569,64758.38880641544,67116.71192996133,70804.8937385223,73939.82082795765
"132081","Tax examiners & collectors, & revenue agents",47486.42037518443,45805.042979563186,48047.7780574785,49036.088596662754,46712.86260306696
"132082","Tax preparers",27672.52142099562,28291.862576860818,30134.126721901976,29660.231458464736,32142.123823077964
